period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2006-09-30,2009-10-27,10-K,2009,FY,,,,,,,,,,9984000000.0,6392000000.0,900678473.0,,,,,,,,,
2007-09-29,2009-07-22,10-Q,2009,Q3,,,,,,,,,,,9352000000.0,895816758.0,,,,,,,,,
2007-09-29,2009-10-27,10-K,2009,FY,,,,,,,24006000000.0,4409000000.0,3496000000.0,14532000000.0,9352000000.0,900678473.0,,,,,,0.1456302591018912,,,
2007-09-29,2010-10-27,10-K,2010,FY,,,,,,,,,,14531000000.0,9352000000.0,917307099.0,,,,,,,,,
2008-06-28,2009-07-22,10-Q,2009,Q3,,,,,,,7464000000.0,1392000000.0,1072000000.0,,9373000000.0,895816758.0,,,,,,0.14362272240085744,,,
2008-09-27,2009-07-22,10-Q,2009,Q3,32311000000.0,14092000000.0,32311000000.0,14092000000.0,,,,,,21030000000.0,11875000000.0,895816758.0,,14092000000.0,14092000000.0,0.4361363003311566,2.292861197842748,,,,0.3675218965677324
2008-09-27,2009-10-27,10-K,2009,FY,32311000000.0,14092000000.0,32311000000.0,14092000000.0,,,32479000000.0,6275000000.0,4834000000.0,21030000000.0,11875000000.0,900678473.0,,14092000000.0,14092000000.0,0.4361363003311566,2.292861197842748,0.14883463160811602,0.1496084924638668,,0.3675218965677324
2008-09-27,2010-01-25,10-Q,2010,Q1,,,,,,,,,,,11875000000.0,906794589.0,,,,,,,,,
2008-09-27,2010-04-21,10-Q,2010,Q2,,,,,,,,,,,11875000000.0,909938383.0,,,,,,,,,
2008-09-27,2010-07-21,10-Q,2010,Q3,,,,,,,,,,,11875000000.0,913562880.0,,,,,,,,,
2008-09-27,2010-10-27,10-K,2010,FY,36171000000.0,,,,,,37491000000.0,8327000000.0,6119000000.0,22297000000.0,11875000000.0,917307099.0,,,,,,0.1632125043343736,0.1691686710348069,,0.3283016781399464
2008-09-27,2011-10-26,10-K,2011,FY,,,,,,,,,,22297000000.0,11875000000.0,929409000.0,,,,,,,,,
