trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d,dgs1,dgs10,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets,financial_period_end,market_cap_proxy,risk_free_rate_proxy,market_default_distance_proxy,market_leverage_proxy,kmv_distance_proxy,ttc_score_proxy
2024-01-02,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,82488700,183.5621795654297,,,4.8,3.95,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2854897055360.5957,0.048,0.979872304014569,0.04843268953912731,,47.34
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,58414500,182.187744140625,-0.007487574118255513,,4.81,3.91,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2833520802058.5938,0.0481,0.979720459451629,0.04878024541040468,,47.34
2024-01-04,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,71983600,179.8739471435547,-0.012700069414572468,,4.85,3.99,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2797534891184.8145,0.048499999999999995,0.9794595948808119,0.04937674397612769,,47.34
2024-01-05,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,62379700,179.15211486816406,-0.004012989578832893,,4.84,4.05,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2786308412820.0684,0.0484,0.9793768343319033,0.04956582974653938,,47.34
2024-01-08,182.08999633789062,185.60000610351562,181.5,185.55999755859375,59144500,183.4830780029297,0.02417478095613168,,4.82,4.01,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2853666808376.2207,0.0482,0.9798636267446034,0.04845255771877466,,47.34
2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,42841800,183.06776428222656,-0.002263498766335803,,4.82,4.02,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2847207537075.9277,0.0482,0.979817944687301,0.04855714137477281,,47.34
2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,46792900,184.1060028076172,0.005671334488960289,,4.82,4.04,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2863355003378.174,0.0482,0.979931758398031,0.04829653564950475,,47.34
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,49128400,183.51272583007812,-0.0032224749247259377,,4.75,3.98,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2854127913679.199,0.0475,0.9798668799234277,0.0484451090744462,,47.34
2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,40477800,183.8390350341797,0.0017781284792408591,,4.65,3.96,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2859202919805.908,0.04650000000000001,0.97990261565489,0.048363279042229916,,47.34
2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,65603000,181.57467651367188,-0.012317071399372881,,4.7,4.07,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2823985913297.3633,0.047,0.9796519877349865,0.048936886762630145,,47.34
