period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2006-12-31,2010-01-29,10-K,2009,FY,,,,,,,,,,431000000.0,1022000000.0,444546442.0,,,,,,,,,
2007-06-30,2009-07-24,10-Q,2009,Q2,,,,,,,,,,,1004000000.0,431807370.0,,,,,,,,,
2007-09-30,2009-10-23,10-Q,2009,Q3,,,,,,,,,,,1366000000.0,432982766.0,,,,,,,,,
2007-12-31,2009-07-24,10-Q,2009,Q2,,,,,,,,,,,2539000000.0,431807370.0,,,,,,,,,
2007-12-31,2009-10-23,10-Q,2009,Q3,,,,,,,,,,,2539000000.0,432982766.0,,,,,,,,,
2007-12-31,2010-01-29,10-K,2009,FY,,,,,,,14835000000.0,655000000.0,476000000.0,1197000000.0,2539000000.0,444546442.0,77000000.0,,,,,0.03208628244017526,,8.506493506493506,
2007-12-31,2011-01-28,10-K,2010,FY,,,,,,,,,,1197000000.0,2539000000.0,451003759.0,,,,,,,,,
2008-03-31,2009-07-24,10-Q,2009,Q2,,,,,,,,,,,1496000000.0,431807370.0,,,,,,,,,
2008-03-31,2010-04-23,10-Q,2010,Q1,,,,,,,,,,,1496000000.0,445671637.0,,,,,,,,,
2008-06-30,2009-07-24,10-Q,2009,Q2,,,,,,,4063000000.0,217000000.0,158000000.0,,1548000000.0,431807370.0,21000000.0,,,,,0.03888752153581098,,10.333333333333334,
2008-06-30,2009-10-23,10-Q,2009,Q3,,,,,,,,,,,1548000000.0,432982766.0,,,,,,,,,
2008-06-30,2010-07-23,10-Q,2010,Q2,,,,,,,,,,,1548000000.0,447825009.0,,,,,,,,,
2008-09-30,2009-10-23,10-Q,2009,Q3,,,,,,,4264000000.0,154000000.0,118000000.0,,1650000000.0,432982766.0,17000000.0,,,,,0.027673545966228893,,9.058823529411764,
2008-09-30,2010-10-22,10-Q,2010,Q3,,,,,,,,,,,1650000000.0,448836757.0,,,,,,,,,
2008-12-31,2009-07-24,10-Q,2009,Q2,6157000000.0,4746000000.0,6157000000.0,4746000000.0,409000000.0,,,,,2672000000.0,2769000000.0,431807370.0,,4950500000.0,5155000000.0,0.770829949650804,1.2973029919932575,,,,0.4497320123436739
2008-12-31,2009-10-23,10-Q,2009,Q3,6157000000.0,4746000000.0,6157000000.0,4746000000.0,409000000.0,,,,,2672000000.0,2769000000.0,432982766.0,,4950500000.0,5155000000.0,0.770829949650804,1.2973029919932575,,,,0.4497320123436739
2008-12-31,2010-01-29,10-K,2009,FY,6157000000.0,4746000000.0,6157000000.0,4746000000.0,409000000.0,,19166000000.0,842000000.0,645000000.0,2672000000.0,2769000000.0,444546442.0,71000000.0,4950500000.0,5155000000.0,0.770829949650804,1.2973029919932575,0.03365334446415528,0.10475881110930647,11.859154929577464,0.4497320123436739
2008-12-31,2010-04-23,10-Q,2010,Q1,,,,,,,,,,,2769000000.0,445671637.0,,,,,,,,,
2008-12-31,2010-07-23,10-Q,2010,Q2,,,,,,,,,,,2769000000.0,447825009.0,,,,,,,,,
2008-12-31,2010-10-22,10-Q,2010,Q3,,,,,,,,,,,2769000000.0,448836757.0,,,,,,,,,
2008-12-31,2011-01-28,10-K,2010,FY,,,,,,,19166000000.0,842000000.0,645000000.0,2672000000.0,2769000000.0,451003759.0,71000000.0,,,,,0.03365334446415528,,11.859154929577464,
2008-12-31,2012-02-01,10-K,2011,FY,,,,,,,,,,2672000000.0,2769000000.0,455068465.0,,,,,,,,,
2009-03-31,2009-07-24,10-Q,2009,Q2,,,,,,,,,,,1701000000.0,431807370.0,,,,,,,,,
2009-03-31,2010-04-23,10-Q,2010,Q1,,,,,,,4889000000.0,244000000.0,177000000.0,,1701000000.0,445671637.0,12000000.0,,,,,0.03620372264266721,,20.333333333333332,
2009-03-31,2010-07-23,10-Q,2010,Q2,,,,,,,,,,,1701000000.0,447825009.0,,,,,,,,,
2009-03-31,2011-01-28,10-K,2010,FY,,,,,,,4889000000.0,,177000000.0,,,451003759.0,,,,,,0.03620372264266721,,,
2009-03-31,2011-04-27,10-Q,2011,Q1,,,,,,,,,,,1701000000.0,452043073.0,,,,,,,,,
2009-06-30,2009-07-24,10-Q,2009,Q2,5304000000.0,3636000000.0,5304000000.0,3636000000.0,109000000.0,,4651000000.0,159000000.0,142000000.0,3256000000.0,1936000000.0,431807370.0,7000000.0,3690500000.0,3745000000.0,0.6855203619909502,1.4587458745874586,0.03053106858740056,0.026772247360482653,22.714285714285715,0.3650075414781297
2009-06-30,2009-10-23,10-Q,2009,Q3,,,,,,,,,,,1936000000.0,432982766.0,,,,,,,,,
2009-06-30,2010-07-23,10-Q,2010,Q2,,,,,,,4651000000.0,159000000.0,142000000.0,,1936000000.0,447825009.0,7000000.0,,,,,0.03053106858740056,,22.714285714285715,
2009-06-30,2010-10-22,10-Q,2010,Q3,,,,,,,,,,,1936000000.0,448836757.0,,,,,,,,,
2009-06-30,2011-01-28,10-K,2010,FY,,,,,,,4651000000.0,,142000000.0,,,451003759.0,,,,,,0.03053106858740056,,,
2009-06-30,2011-07-27,10-Q,2011,Q2,,,,,,,,,,,1936000000.0,453935325.0,,,,,,,,,
