period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2007-09-02,2010-10-18,10-K,2010,FY,,,,,,,,,,8687000000.0,2780000000.0,432333947.0,,,,,,,,,
2008-08-30,2010-06-10,10-Q,2010,Q3,,,,,,,,,,,2619000000.0,439132186.0,,,,,,,,,
2008-08-31,2009-12-18,10-Q,2010,Q1,,,,,,,,,,,2619000000.0,439333060.0,,,,,,,,,
2008-08-31,2010-03-17,10-Q,2010,Q2,,,,,,,,,,,2619000000.0,440506789.0,,,,,,,,,
2008-08-31,2010-10-18,10-K,2010,FY,20682000000.0,,,,,,70977000000.0,1969000000.0,1295000000.0,9274000000.0,2619000000.0,432333947.0,103000000.0,,,,,0.018245347084266735,0.06261483415530412,19.116504854368934,0.12663185378590078
2008-08-31,2011-10-14,10-K,2011,FY,,,,,,,,,,9274000000.0,2619000000.0,433365150.0,,,,,,,,,
2008-11-23,2009-12-18,10-Q,2010,Q1,,,,,,,16036000000.0,422000000.0,266000000.0,,2215000000.0,439333060.0,25000000.0,,,,,0.016587677725118485,,16.88,
2008-11-23,2010-10-18,10-K,2010,FY,,,,,,,16036000000.0,422000000.0,266000000.0,,,432333947.0,25000000.0,,,,,0.016587677725118485,,16.88,
2009-02-15,2010-03-17,10-Q,2010,Q2,,,,,,,16488000000.0,398000000.0,243000000.0,,2705000000.0,440506789.0,25000000.0,,,,,0.014737991266375546,,15.92,
2009-02-15,2010-10-18,10-K,2010,FY,,,,,,,16488000000.0,398000000.0,243000000.0,,,432333947.0,25000000.0,,,,,0.014737991266375546,,15.92,
2009-05-10,2010-06-10,10-Q,2010,Q3,,,,,,,15477000000.0,359000000.0,212000000.0,,3083000000.0,439132186.0,25000000.0,,,,,0.013697745041028624,,14.36,
2009-05-10,2010-10-18,10-K,2010,FY,,,,,,,15477000000.0,359000000.0,212000000.0,,,432333947.0,25000000.0,,,,,0.013697745041028624,,14.36,
2009-08-30,2009-12-18,10-Q,2010,Q1,10337000000.0,9281000000.0,10337000000.0,9281000000.0,2130000000.0,16000000.0,,,,10104000000.0,3157000000.0,439333060.0,,1081000000.0,2146000000.0,0.8978427009770726,1.1137808425816185,,,,0.30540775853729324
2009-08-30,2010-03-17,10-Q,2010,Q2,10337000000.0,9281000000.0,10337000000.0,9281000000.0,2130000000.0,16000000.0,,,,10104000000.0,3157000000.0,440506789.0,,1081000000.0,2146000000.0,0.8978427009770726,1.1137808425816185,,,,0.30540775853729324
2009-08-30,2010-06-10,10-Q,2010,Q3,10337000000.0,9281000000.0,10337000000.0,9281000000.0,2130000000.0,16000000.0,,,,10104000000.0,3157000000.0,439132186.0,,1081000000.0,2146000000.0,0.8978427009770726,1.1137808425816185,,,,0.30540775853729324
2009-08-30,2010-10-18,10-K,2010,FY,10337000000.0,9281000000.0,10337000000.0,9281000000.0,2130000000.0,16000000.0,21888000000.0,598000000.0,378000000.0,10104000000.0,3157000000.0,432333947.0,33000000.0,1081000000.0,2146000000.0,0.8978427009770726,1.1137808425816185,0.017269736842105265,0.03656766953661604,18.12121212121212,0.30540775853729324
2009-08-30,2010-12-17,10-Q,2011,Q1,,,,,,,,,,10104000000.0,3157000000.0,436524744.0,,,,,,,,,
2009-08-30,2011-03-17,10-Q,2011,Q2,,,,,,,,,,10104000000.0,3157000000.0,436859609.0,,,,,,,,,
2009-08-30,2011-06-09,10-Q,2011,Q3,,,,,,,,,,10104000000.0,3157000000.0,437812960.0,,,,,,,,,
2009-08-30,2011-10-14,10-K,2011,FY,21979000000.0,,,,,,69889000000.0,1777000000.0,1099000000.0,10104000000.0,3157000000.0,433365150.0,108000000.0,,,,,0.015724935254474954,0.050002274898767005,16.453703703703702,0.14363710814868738
2009-08-30,2012-10-19,10-K,2012,FY,,,,,,,,,,10104000000.0,3157000000.0,432424379.0,,,,,,,,,
2009-11-22,2009-12-18,10-Q,2010,Q1,11627000000.0,10285000000.0,11627000000.0,10285000000.0,2135000000.0,30000000.0,16922000000.0,428000000.0,270000000.0,10431000000.0,3617000000.0,439333060.0,24000000.0,1097500000.0,2165000000.0,0.8845789971617786,1.1304812834224598,0.015955560808415082,0.0232218113012815,17.833333333333332,0.3110862647286488
2009-11-22,2010-10-18,10-K,2010,FY,,,,,,,16922000000.0,428000000.0,270000000.0,,,432333947.0,24000000.0,,,,,0.015955560808415082,,17.833333333333332,
2009-11-22,2010-12-17,10-Q,2011,Q1,23478000000.0,,,,,,16922000000.0,428000000.0,270000000.0,10431000000.0,3617000000.0,436524744.0,24000000.0,,,,,0.015955560808415082,0.011500127779197547,17.833333333333332,0.15405911917539825
2009-11-22,2011-10-14,10-K,2011,FY,,,,,,,16922000000.0,428000000.0,270000000.0,,,433365150.0,24000000.0,,,,,0.015955560808415082,,17.833333333333332,
2009-12-11,2009-12-18,10-Q,2010,Q1,,,,,,,,,,,,439333060.0,,,,,,,,,
