period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2014-01-31,2017-03-31,10-K,2017,FY,,,,,,,,,4014000000.0,,,,848171289,,,,,,,,
2015-01-30,2016-06-10,10-Q,2017,Q1,,,,,,,,,,5398000000.0,,,848171289,,,,,,,,
2015-01-30,2016-12-09,10-Q,2017,Q3,,,,,,,,,2904000000.0,,,,848171289,,,,,,,,
2015-01-30,2017-03-31,10-K,2017,FY,,,,,,54142000000.0,-316000000.0,-1221000000.0,2904000000.0,5398000000.0,807000000.0,,848171289,,,,,-0.02255180820804551,,-0.3915737298636927,
2015-01-30,2018-03-29,10-K,2018,FY,,,,,,,,,2904000000.0,,,,848171289,,,,,,,,
2015-05-01,2016-06-10,10-Q,2017,Q1,,,,,,12838000000.0,-335000000.0,-504000000.0,,4774000000.0,,,848171289,,,,,-0.03925845147219193,,,
2015-05-01,2017-03-31,10-K,2017,FY,,,,,,12552000000.0,,-504000000.0,,,,,848171289,,,,,-0.040152963671128104,,,
2015-07-31,2016-09-06,10-Q,2017,Q2,,,,,,12975000000.0,-103000000.0,-265000000.0,,5999000000.0,,,848171289,,,,,-0.02042389210019268,,,
2015-07-31,2017-03-31,10-K,2017,FY,,,,,,13006000000.0,,-265000000.0,,,,,848171289,,,,,-0.020375211440873443,,,
2015-10-30,2016-12-09,10-Q,2017,Q3,,,,,,12674000000.0,-78000000.0,-180000000.0,1689000000.0,5654000000.0,,,848171289,,,,,-0.014202303929304086,,,
2015-10-30,2017-03-31,10-K,2017,FY,,,,,,12674000000.0,,-180000000.0,,,,,848171289,,,,,-0.014202303929304086,,,
2016-01-29,2016-06-10,10-Q,2017,Q1,21455000000.0,24990000000.0,21455000000.0,24990000000.0,10650000000.0,,,,1466000000.0,6576000000.0,,,848171289,30315000000.0,35640000000.0,1.1647634584013051,0.8585434173669467,,,,0.3065019808902354
2016-01-29,2016-09-06,10-Q,2017,Q2,23573000000.0,25405000000.0,23573000000.0,25405000000.0,10650000000.0,,,,1466000000.0,6322000000.0,,,848171289,30730000000.0,36055000000.0,1.0777160310524754,0.9278882109820902,,,,0.26818818139396766
