period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,revenue,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2013-12-29,2015-08-10,10-Q,2015,Q2,,,,,,,,,,2459000000.0,1212833289.0,,,,,,,,,,
2013-12-29,2015-11-06,10-Q,2015,Q3,,,,,,,,,,2459000000.0,1213455716.0,,,,,,,,,,
2013-12-29,2017-02-23,10-K,2016,FY,,,,,,,,,8192000000.0,2459000000.0,1217136057.0,,,,,,,,,,
2014-06-29,2015-08-10,10-Q,2015,Q2,,,,,,,374000000.0,135000000.0,,2805000000.0,1212833289.0,168000000.0,,,,,,,,2.2261904761904763,
2014-09-28,2015-11-06,10-Q,2015,Q3,,,,,,,409000000.0,174000000.0,,2854000000.0,1213455716.0,167000000.0,,,,,,,,2.4491017964071857,
2014-12-28,2015-08-10,10-Q,2015,Q2,4915000000.0,3092000000.0,4915000000.0,3092000000.0,13597000000.0,59000000.0,,,7336000000.0,2298000000.0,1212833289.0,,,6857500000.0,13656000000.0,0.6290946083418107,1.5895860284605434,,,,0.4675483214649034
2014-12-28,2015-11-06,10-Q,2015,Q3,4915000000.0,3092000000.0,4915000000.0,3092000000.0,,,,,7336000000.0,2298000000.0,1213455716.0,,,3092000000.0,3092000000.0,0.6290946083418107,1.5895860284605434,,,,0.4675483214649034
2014-12-28,2016-03-03,10-K,2015,FY,4915000000.0,3092000000.0,4915000000.0,3092000000.0,,,,,7336000000.0,2298000000.0,1215189526.0,,,3092000000.0,3092000000.0,0.6290946083418107,1.5895860284605434,,,,0.4675483214649034
2014-12-28,2016-05-05,10-Q,2016,Q1,,,,,,,,,,2298000000.0,1215955228.0,,,,,,,,,,
2014-12-28,2016-08-05,10-Q,2016,Q2,,,,,,,,,,2298000000.0,1217650866.0,,,,,,,,,,
2014-12-28,2016-11-04,10-Q,2016,Q3,,,,,,,,,,2298000000.0,1217270219.0,,,,,,,,,,
2014-12-28,2017-02-23,10-K,2016,FY,,,,,,,1568000000.0,672000000.0,7336000000.0,2298000000.0,1217136057.0,686000000.0,,,,,,,,2.2857142857142856,
2014-12-28,2018-02-16,10-K,2017,FY,,,,,,,,,7336000000.0,2310000000.0,1218801890.0,,,,,,,,,,
2015-03-29,2016-05-05,10-Q,2016,Q1,,,,,,,509000000.0,279000000.0,,1899000000.0,1215955228.0,201000000.0,,,,,,,,2.5323383084577116,
2015-03-29,2017-02-23,10-K,2016,FY,,,,,,,,279000000.0,,,1217136057.0,,,,,,,,,,
2015-06-28,2015-08-10,10-Q,2015,Q2,4589000000.0,2653000000.0,4589000000.0,2653000000.0,13636000000.0,2000000.0,444000000.0,-160000000.0,6954000000.0,2147000000.0,1212833289.0,394000000.0,,6820000000.0,13638000000.0,0.5781215951187623,1.7297399170750094,,-0.034865983874482455,1.1269035532994924,0.4678579211157115
2015-06-28,2016-08-05,10-Q,2016,Q2,,,,,,,444000000.0,-160000000.0,,2147000000.0,1217650866.0,394000000.0,,,,,,,,1.1269035532994924,
2015-06-28,2017-02-23,10-K,2016,FY,,,,,,,,-160000000.0,,,1217136057.0,,,,,,,,,,
2015-08-02,2015-08-10,10-Q,2015,Q2,,,,,,,,,,,1212833289.0,,,,,,,,,,
2015-09-27,2015-11-06,10-Q,2015,Q3,10411000000.0,5746000000.0,10411000000.0,5746000000.0,,,399000000.0,-120000000.0,59017000000.0,4437000000.0,1213455716.0,460000000.0,,5746000000.0,5746000000.0,0.5519162424358851,1.8118691263487643,,-0.011526270291038325,0.8673913043478261,0.42618384401114207
2015-09-27,2016-11-04,10-Q,2016,Q3,,,,,,,399000000.0,-120000000.0,,4437000000.0,1217270219.0,460000000.0,,,,,,,,0.8673913043478261,
2015-09-27,2017-02-23,10-K,2016,FY,,,,,,,,-120000000.0,,,1217136057.0,,,,,,,,,,
2015-11-01,2015-11-06,10-Q,2015,Q3,,,,,,,,,,,1213455716.0,,,,,,,,,,
2016-01-03,2016-03-03,10-K,2015,FY,9780000000.0,6932000000.0,9780000000.0,6932000000.0,,,,,57893000000.0,4837000000.0,1215189526.0,,,6932000000.0,6932000000.0,0.7087934560327198,1.4108482400461628,,,,0.49458077709611453
2016-01-03,2016-05-05,10-Q,2016,Q1,9780000000.0,6932000000.0,9780000000.0,6932000000.0,,,,,57893000000.0,4837000000.0,1215955228.0,,,6932000000.0,6932000000.0,0.7087934560327198,1.4108482400461628,,,,0.49458077709611453
2016-01-03,2016-08-05,10-Q,2016,Q2,9780000000.0,6932000000.0,9780000000.0,6932000000.0,,4000000.0,,,57893000000.0,4837000000.0,1217650866.0,,,4000000.0,4000000.0,0.7087934560327198,1.4108482400461628,,,,0.49458077709611453
2016-01-03,2016-11-04,10-Q,2016,Q3,9780000000.0,6932000000.0,9780000000.0,6932000000.0,,4000000.0,,,57893000000.0,4837000000.0,1217270219.0,,,4000000.0,4000000.0,0.7087934560327198,1.4108482400461628,,,,0.49458077709611453
2016-01-03,2017-02-23,10-K,2016,FY,9780000000.0,6932000000.0,9780000000.0,6932000000.0,,4000000.0,2639000000.0,648000000.0,57893000000.0,4837000000.0,1217136057.0,1321000000.0,,4000000.0,4000000.0,0.7087934560327198,1.4108482400461628,,0.06625766871165645,1.9977289931869795,0.49458077709611453
2016-01-03,2017-08-04,10-Q,2017,Q2,,,,,,,,,,4912000000.0,1218251122.0,,,,,,,,,,
2016-01-03,2017-11-07,10-Q,2017,Q3,,,,,,,,,,4912000000.0,1218467836.0,,,,,,,,,,
2016-01-03,2018-02-16,10-K,2017,FY,,,,,,,2639000000.0,647000000.0,57893000000.0,4912000000.0,1218801890.0,1321000000.0,,,,,,,,1.9977289931869795,
2016-01-03,2019-06-07,10-K,2018,FY,,,,,,,,,57871000000.0,4912000000.0,1219938804.0,,,,,,,,,,
2016-02-28,2016-03-03,10-K,2015,FY,,,,,,,,,,,1215189526.0,,,,,,,,,,
2016-04-03,2016-05-05,10-Q,2016,Q1,9812000000.0,6730000000.0,9812000000.0,6730000000.0,,,1513000000.0,900000000.0,58259000000.0,4199000000.0,1215955228.0,249000000.0,,6730000000.0,6730000000.0,0.6858948226661231,1.4579494799405646,,0.09172441907867916,6.076305220883534,0.4279453730126376
2016-04-03,2017-02-23,10-K,2016,FY,,,,,,,,900000000.0,,,1217136057.0,,,,,,,,,,
2016-04-03,2017-05-04,10-Q,2017,Q1,,,,,,,1513000000.0,900000000.0,,,1217633003.0,249000000.0,,,,,,,,6.076305220883534,
2016-04-03,2018-02-16,10-K,2017,FY,,,,,,,,900000000.0,,,1218801890.0,,,,,,,,,,
2016-05-01,2016-05-05,10-Q,2016,Q1,,,,,,,,,,,1215955228.0,,,,,,,,,,
2016-07-03,2016-08-05,10-Q,2016,Q2,9347000000.0,9593000000.0,9347000000.0,9593000000.0,,645000000.0,1636000000.0,955000000.0,58047000000.0,4237000000.0,1217650866.0,264000000.0,,645000000.0,645000000.0,1.026318604899968,0.9743563014698218,,0.10217181983524125,6.196969696969697,0.45330052423237405
2016-07-03,2017-02-23,10-K,2016,FY,,,,,,,,955000000.0,,,1217136057.0,,,,,,,,,,
2016-07-03,2017-08-04,10-Q,2017,Q2,,,,,,,1636000000.0,955000000.0,,4376000000.0,1218251122.0,264000000.0,,,,,,,,6.196969696969697,
