period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2006-12-31,2010-02-26,10-K,2009,FY,,,,,,,,,,0.0,2440000000.0,2305123938.0,,,,,,,,,
2007-12-31,2009-07-30,10-Q,2009,Q2,,,,,,,,,,,4093000000.0,2317441658.0,,,,,,,,,
2007-12-31,2010-02-26,10-K,2009,FY,,,,,,,,7252000000.0,6027000000.0,0.0,4093000000.0,2305123938.0,456000000.0,,,,,,,15.903508771929825,
2007-12-31,2011-02-28,10-K,2010,FY,,,,,,,,,,,4093000000.0,2294316831.0,,,,,,,,,
2008-06-27,2009-07-30,10-Q,2009,Q2,,,,,,,,2679000000.0,1443000000.0,,6571000000.0,2317441658.0,89000000.0,,,,,,,30.10112359550562,
2008-12-31,2009-07-30,10-Q,2009,Q2,12176000000.0,12988000000.0,12176000000.0,12988000000.0,2781000000.0,465000000.0,,,,20862000000.0,4701000000.0,2317441658.0,,1855500000.0,3246000000.0,1.066688567674113,0.9374807514628888,,,,0.3860873850197109
2008-12-31,2010-02-26,10-K,2009,FY,12176000000.0,12988000000.0,12176000000.0,12988000000.0,2781000000.0,465000000.0,,8446000000.0,5874000000.0,20862000000.0,4701000000.0,2305123938.0,438000000.0,1855500000.0,3246000000.0,1.066688567674113,0.9374807514628888,,0.48242444152431013,19.28310502283105,0.3860873850197109
2008-12-31,2010-04-29,10-Q,2010,Q1,,,,,,,,,,,4701000000.0,2307050619.0,,,,,,,,,
2008-12-31,2010-08-02,10-Q,2010,Q2,,,,,,,,,,,4701000000.0,2309462424.0,,,,,,,,,
2008-12-31,2010-10-29,10-Q,2010,Q3,,,,,,,,,,,4701000000.0,2322033722.0,,,,,,,,,
2008-12-31,2011-02-28,10-K,2010,FY,,,,,,,,8446000000.0,5874000000.0,,4701000000.0,2294316831.0,438000000.0,,,,,,,19.28310502283105,
2008-12-31,2012-02-23,10-K,2011,FY,,,,,,,,,,,4701000000.0,2263204221.0,,,,,,,,,
2009-04-03,2010-04-29,10-Q,2010,Q1,,,,,,,,1863000000.0,1359000000.0,,6816000000.0,2307050619.0,85000000.0,,,,,,,21.91764705882353,
2009-07-03,2009-07-30,10-Q,2009,Q2,16372000000.0,13567000000.0,16372000000.0,13567000000.0,5017000000.0,49000000.0,,2438000000.0,2049000000.0,23517000000.0,7647000000.0,2317441658.0,97000000.0,2557500000.0,5066000000.0,0.8286709015392133,1.2067516768629762,,0.12515269973124848,25.1340206185567,0.4670779379428292
2009-07-03,2010-08-02,10-Q,2010,Q2,,,,,,,,2438000000.0,2049000000.0,,7647000000.0,2309462424.0,97000000.0,,,,,,,25.1340206185567,
2009-07-24,2009-07-30,10-Q,2009,Q2,,,,,,,,,,,,2317441658.0,,,,,,,,,
2009-10-02,2010-10-29,10-Q,2010,Q3,,,,,,,,2150000000.0,1920000000.0,,8846000000.0,2322033722.0,89000000.0,,,,,,,24.15730337078652,
2009-12-31,2010-02-26,10-K,2009,FY,17551000000.0,13721000000.0,17551000000.0,13721000000.0,5059000000.0,51000000.0,,8231000000.0,6906000000.0,25346000000.0,7021000000.0,2305123938.0,355000000.0,2580500000.0,5110000000.0,0.781778816021879,1.279134173894031,,0.39348185288587545,23.185915492957747,0.4000341860862629
2009-12-31,2010-04-29,10-Q,2010,Q1,17551000000.0,13721000000.0,17551000000.0,13721000000.0,5059000000.0,51000000.0,,,,25346000000.0,7021000000.0,2307050619.0,,2580500000.0,5110000000.0,0.781778816021879,1.279134173894031,,,,0.4000341860862629
2009-12-31,2010-08-02,10-Q,2010,Q2,17551000000.0,13721000000.0,17551000000.0,13721000000.0,5059000000.0,51000000.0,,,,25346000000.0,7021000000.0,2309462424.0,,2580500000.0,5110000000.0,0.781778816021879,1.279134173894031,,,,0.4000341860862629
2009-12-31,2010-10-29,10-Q,2010,Q3,17551000000.0,13721000000.0,17551000000.0,13721000000.0,5059000000.0,51000000.0,,,,25346000000.0,7021000000.0,2322033722.0,,2580500000.0,5110000000.0,0.781778816021879,1.279134173894031,,,,0.4000341860862629
2009-12-31,2011-02-28,10-K,2010,FY,17551000000.0,13721000000.0,17551000000.0,13721000000.0,5059000000.0,51000000.0,,8231000000.0,6906000000.0,25346000000.0,7021000000.0,2294316831.0,355000000.0,2580500000.0,5110000000.0,0.781778816021879,1.279134173894031,,0.39348185288587545,23.185915492957747,0.4000341860862629
2009-12-31,2011-05-02,10-Q,2011,Q1,,,,,,,,,,,7021000000.0,2289254476.0,,,,,,,,,
2009-12-31,2011-08-01,10-Q,2011,Q2,,,,,,,,,,,7021000000.0,2296096150.0,,,,,,,,,
2009-12-31,2011-10-27,10-Q,2011,Q3,,,,,,,,,,,7021000000.0,2271232205.0,,,,,,,,,
2009-12-31,2012-02-23,10-K,2011,FY,,,,,,,,8231000000.0,6906000000.0,24799000000.0,7021000000.0,2263204221.0,355000000.0,,,,,,,23.185915492957747,
2009-12-31,2013-02-27,10-K,2012,FY,,,,,,,,,,,7021000000.0,4456717996.0,,,,,,,,,
2010-02-22,2010-02-26,10-K,2009,FY,,,,,,,,,,,,2305123938.0,,,,,,,,,
2010-04-02,2010-04-29,10-Q,2010,Q1,17208000000.0,13583000000.0,17208000000.0,13583000000.0,4419000000.0,546000000.0,,2183000000.0,1626000000.0,25157000000.0,5684000000.0,2307050619.0,85000000.0,2755500000.0,4965000000.0,0.7893421664342166,1.266877714790547,,0.09449093444909344,25.68235294117647,0.3303114830311483
