period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2007-05-31,2010-07-01,10-K,2010,FY,,,,,,,,,17235000000.0,6218000000.0,5026247000.0,,,,,,,,,,
2008-05-31,2009-09-21,10-Q,2010,Q1,,,,,,,,,,8262000000.0,5013168000.0,,,,,,,,,,
2008-05-31,2009-12-22,10-Q,2010,Q2,,,,,,,,,,8262000000.0,5011220000.0,,,,,,,,,,
2008-05-31,2010-03-29,10-Q,2010,Q3,,,,,,,,,,8262000000.0,5019091000.0,,,,,,,,,,
2008-05-31,2010-07-01,10-K,2010,FY,,,,,,0.0,7844000000.0,5581000000.0,23394000000.0,8262000000.0,5026247000.0,-394000000.0,,,,,,inf,,-19.908629441624367,
2008-05-31,2011-06-28,10-K,2011,FY,,,,,,,,,23394000000.0,8262000000.0,5065515000.0,,,,,,,,,,
2008-08-31,2009-09-21,10-Q,2010,Q1,,,,,,5331000000.0,1521000000.0,,,8553000000.0,5013168000.0,-159000000.0,,,,,,,,-9.566037735849056,
2008-11-30,2009-12-22,10-Q,2010,Q2,,,,,,5607000000.0,1975000000.0,,,7353000000.0,5011220000.0,-157000000.0,,,,,,,,-12.579617834394904,
2009-02-28,2010-03-29,10-Q,2010,Q3,,,,,,0.0,1940000000.0,,,8211000000.0,5019091000.0,-154000000.0,,,,,,,,-12.597402597402597,
2009-05-31,2009-09-21,10-Q,2010,Q1,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5013168000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2009-12-22,10-Q,2010,Q2,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5011220000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2010-03-29,10-Q,2010,Q3,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5019091000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2010-07-01,10-K,2010,FY,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,0.0,8321000000.0,5677000000.0,25445000000.0,8995000000.0,5026247000.0,-630000000.0,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,inf,0.30552715139120606,-13.207936507936507,0.4840966578763253
2009-05-31,2010-12-21,10-Q,2011,Q2,,,,,,,,,,8995000000.0,5052420000.0,,,,,,,,,,
2009-05-31,2011-03-29,10-Q,2011,Q3,,,,,,,,,,8995000000.0,5060516000.0,,,,,,,,,,
2009-05-31,2011-06-28,10-K,2011,FY,,,,,,23252000000.0,8321000000.0,5677000000.0,25445000000.0,8995000000.0,5065515000.0,630000000.0,,,,,,0.2441510407706864,,13.207936507936507,
2009-05-31,2012-06-26,10-K,2012,FY,,,,,,,,,25445000000.0,8995000000.0,4882506000.0,,,,,,,,,,
2009-08-31,2009-09-21,10-Q,2010,Q1,24445000000.0,9160000000.0,24445000000.0,9160000000.0,,5054000000.0,1740000000.0,,26487000000.0,16098000000.0,5013168000.0,-179000000.0,,9160000000.0,9160000000.0,0.37471875639190017,2.6686681222707422,,,-9.720670391061452,0.6585395786459398
2009-09-16,2009-09-21,10-Q,2010,Q1,,,,,,,,,,,5013168000.0,,,,,,,,,,
