period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2007-01-31,2010-03-30,10-K,2009,FY,,,,,,,,,,63733000000.0,,3759007514.0,,,,,,,,,
2008-01-31,2010-03-30,10-K,2009,FY,,,,,,,373821000000.0,21952000000.0,13137000000.0,66547000000.0,,3759007514.0,,,,,,0.035142487982216086,,,
2008-01-31,2011-03-30,10-K,2010,FY,,,,,,,,,,66250000000.0,,3491198520.0,,,,,,,,,
2008-07-31,2009-09-09,10-Q,2009,Q2,49774000000.0,54929000000.0,49774000000.0,54929000000.0,34168000000.0,2180000000.0,101546000000.0,5813000000.0,3579000000.0,68868000000.0,6903000000.0,3856826597.0,,19264000000.0,36348000000.0,1.103568127938281,0.9061515774909429,0.03524511059027436,0.07190501064812954,,0.1386868646281191
2008-10-31,2009-12-08,10-Q,2009,Q3,53093000000.0,60624000000.0,53093000000.0,60624000000.0,30803000000.0,4753000000.0,97619000000.0,5292000000.0,3251000000.0,67573000000.0,5920000000.0,3810171967.0,,20154500000.0,35556000000.0,1.14184544101859,0.8757752705199261,0.03330294307460638,0.061232177499858736,,0.11150245795114233
2009-01-31,2009-09-09,10-Q,2009,Q2,48949000000.0,55390000000.0,48949000000.0,55390000000.0,31349000000.0,5848000000.0,,,,67079000000.0,7275000000.0,3856826597.0,,21522500000.0,37197000000.0,1.1315859363827658,0.8837154721068785,,,,0.1486240781221271
2009-01-31,2009-12-08,10-Q,2009,Q3,48949000000.0,55390000000.0,48949000000.0,55390000000.0,31349000000.0,5848000000.0,,,,67079000000.0,7275000000.0,3810171967.0,,21522500000.0,37197000000.0,1.1315859363827658,0.8837154721068785,,,,0.1486240781221271
2009-01-31,2010-03-30,10-K,2009,FY,48949000000.0,55390000000.0,48949000000.0,55390000000.0,31349000000.0,1506000000.0,401087000000.0,22798000000.0,13899000000.0,67079000000.0,7275000000.0,3759007514.0,,17180500000.0,32855000000.0,1.1315859363827658,0.8837154721068785,0.03465332957687484,0.28394859956281027,,0.1486240781221271
2009-01-31,2011-03-30,10-K,2010,FY,,,,,,,401087000000.0,22767000000.0,13880000000.0,66763000000.0,,3491198520.0,,,,,,0.0346059583082972,,,
2009-01-31,2012-03-27,10-K,2011,FY,,,,,,,,,,66763000000.0,7275000000.0,3404538468.0,,,,,,,,,
2009-04-30,2010-06-04,10-Q,2010,Q1,47746000000.0,56399000000.0,47746000000.0,56399000000.0,32480000000.0,1457000000.0,93471000000.0,5217000000.0,3139000000.0,63914000000.0,6578000000.0,3709648571.0,,17697000000.0,33937000000.0,1.1812298412432456,0.8465752938881895,0.03358260850959121,0.06574372722322289,,0.1377707033049889
2009-04-30,2011-03-30,10-K,2010,FY,,,,,,,93471000000.0,,3113000000.0,,,3491198520.0,,,,,,0.03330444736870259,,,
2009-07-31,2009-09-09,10-Q,2009,Q2,49025000000.0,57196000000.0,49025000000.0,57196000000.0,33579000000.0,6959000000.0,100082000000.0,5882000000.0,3549000000.0,68822000000.0,7997000000.0,3856826597.0,,23748500000.0,40538000000.0,1.1666700662927079,0.8571403594656969,0.03546092204392398,0.0723916369199388,,0.16312085670576237
2009-07-31,2010-09-01,10-Q,2010,Q2,48692000000.0,57176000000.0,48692000000.0,57176000000.0,33579000000.0,1122000000.0,100168000000.0,5929000000.0,3579000000.0,68509000000.0,7997000000.0,3636547192.0,,17911500000.0,34701000000.0,1.1742380678550892,0.8516160626836435,0.035729973644277616,0.07350283414113201,,0.16423642487472276
2009-07-31,2011-03-30,10-K,2010,FY,,,,,,,100168000000.0,,3579000000.0,,,3491198520.0,,,,,,0.035729973644277616,,,
2009-09-04,2009-09-09,10-Q,2009,Q2,,,,,,,,,,,,3856826597.0,,,,,,,,,
2009-10-31,2009-12-08,10-Q,2009,Q3,51948000000.0,59179000000.0,51948000000.0,59179000000.0,34394000000.0,4169000000.0,98667000000.0,5593000000.0,3353000000.0,69642000000.0,6003000000.0,3810171967.0,,21366000000.0,38563000000.0,1.139196889196889,0.877811385795637,0.03398299330069831,0.06454531454531455,,0.11555786555786556
2009-10-31,2010-12-06,10-Q,2010,Q3,51516000000.0,59155000000.0,51516000000.0,59155000000.0,34394000000.0,5239000000.0,98667000000.0,5442000000.0,3258000000.0,69234000000.0,6003000000.0,3561994294.0,,22436000000.0,39633000000.0,1.148284028263064,0.8708646775420505,0.033020158715680016,0.06324248777078965,,0.11652690426275332
2009-10-31,2011-03-30,10-K,2010,FY,,,,,,,98667000000.0,,3258000000.0,,,3491198520.0,,,,,,0.033020158715680016,,,
2009-12-03,2009-12-08,10-Q,2009,Q3,,,,,,,,,,,,3810171967.0,,,,,,,,,
2010-01-31,2010-03-30,10-K,2009,FY,48331000000.0,55561000000.0,48331000000.0,55561000000.0,33231000000.0,523000000.0,405046000000.0,23950000000.0,14848000000.0,72929000000.0,7907000000.0,3759007514.0,,17138500000.0,33754000000.0,1.1495934286482796,0.8698727524702579,0.03665756481979825,0.3072148310608098,,0.16360100142765513
2010-01-31,2010-06-04,10-Q,2010,Q1,48331000000.0,55561000000.0,48331000000.0,55561000000.0,33231000000.0,523000000.0,,,,72929000000.0,7907000000.0,3709648571.0,,17138500000.0,33754000000.0,1.1495934286482796,0.8698727524702579,,,,0.16360100142765513
2010-01-31,2010-09-01,10-Q,2010,Q2,48032000000.0,55543000000.0,48032000000.0,55543000000.0,33231000000.0,523000000.0,,,,72648000000.0,7907000000.0,3636547192.0,,17138500000.0,33754000000.0,1.1563749167221853,0.864771438345066,,,,0.16461942038640906
