period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2007-07-31,2010-09-16,10-K,2010,FY,,,,,,,,,,2036000000.0,255000000.0,317535557.0,,,,,,,,,
2008-07-31,2009-12-04,10-Q,2010,Q1,,,,,,,,,,2080000000.0,413000000.0,316760854.0,,,,,,,,,
2008-07-31,2010-03-01,10-Q,2010,Q2,,,,,,,,,,2080000000.0,413000000.0,313918834.0,,,,,,,,,
2008-07-31,2010-05-28,10-Q,2010,Q3,,,,,,,,,,2080000000.0,413000000.0,314117010.0,,,,,,,,,
2008-07-31,2010-09-16,10-K,2010,FY,,,,,,,2993000000.0,644000000.0,477000000.0,2080000000.0,413000000.0,317535557.0,,,,,,0.15937186769127965,,,
2008-07-31,2011-09-14,10-K,2011,FY,,,,,,,,,,2080000000.0,413000000.0,300814069.0,,,,,,,,,
2008-10-31,2009-12-04,10-Q,2010,Q1,,,,,,,481000000.0,-76000000.0,-52000000.0,1954000000.0,169000000.0,316760854.0,,,,,,-0.10810810810810811,,,
2008-10-31,2010-03-01,10-Q,2010,Q2,,,,,,,,,,,169000000.0,313918834.0,,,,,,,,,
2008-10-31,2010-09-16,10-K,2010,FY,,,,,,,462000000.0,-75000000.0,-52000000.0,,,317535557.0,,,,,,-0.11255411255411256,,,
2009-01-31,2010-03-01,10-Q,2010,Q2,,,,,,,773000000.0,111000000.0,85000000.0,2036000000.0,339000000.0,313918834.0,,,,,,0.10996119016817593,,,
2009-01-31,2010-05-28,10-Q,2010,Q3,,,,,,,,,,,339000000.0,314117010.0,,,,,,,,,
2009-01-31,2010-09-16,10-K,2010,FY,,,,,,,773000000.0,111000000.0,85000000.0,,,317535557.0,,,,,,0.10996119016817593,,,
2009-04-30,2010-05-28,10-Q,2010,Q3,,,,,,,1417000000.0,765000000.0,485000000.0,2600000000.0,1222000000.0,314117010.0,,,,,,0.34227240649259,,,
2009-04-30,2010-09-16,10-K,2010,FY,,,,,,,1417000000.0,765000000.0,485000000.0,,,317535557.0,,,,,,0.34227240649259,,,
2009-07-31,2009-12-04,10-Q,2010,Q1,1968000000.0,1084000000.0,1968000000.0,1084000000.0,,,,,,2557000000.0,679000000.0,316760854.0,,1084000000.0,1084000000.0,0.5508130081300813,1.8154981549815499,,,,0.34502032520325204
2009-07-31,2010-03-01,10-Q,2010,Q2,1968000000.0,1084000000.0,1968000000.0,1084000000.0,,,,,,2557000000.0,679000000.0,313918834.0,,1084000000.0,1084000000.0,0.5508130081300813,1.8154981549815499,,,,0.34502032520325204
2009-07-31,2010-05-28,10-Q,2010,Q3,1968000000.0,1084000000.0,1968000000.0,1084000000.0,,,,,,2557000000.0,679000000.0,314117010.0,,1084000000.0,1084000000.0,0.5508130081300813,1.8154981549815499,,,,0.34502032520325204
2009-07-31,2010-09-16,10-K,2010,FY,1968000000.0,1084000000.0,1968000000.0,1084000000.0,,,457000000.0,-118000000.0,-71000000.0,2557000000.0,679000000.0,317535557.0,,1084000000.0,1084000000.0,0.5508130081300813,1.8154981549815499,-0.15536105032822758,-0.036077235772357726,,0.34502032520325204
2009-07-31,2010-12-06,10-Q,2011,Q1,,,,,,,,,,2557000000.0,679000000.0,310610837.0,,,,,,,,,
2009-07-31,2011-03-01,10-Q,2011,Q2,,,,,,,,,,2557000000.0,679000000.0,302580717.0,,,,,,,,,
2009-07-31,2011-06-01,10-Q,2011,Q3,,,,,,,,,,2557000000.0,679000000.0,304000417.0,,,,,,,,,
2009-07-31,2011-09-14,10-K,2011,FY,,,,,,,3109000000.0,683000000.0,447000000.0,2557000000.0,679000000.0,300814069.0,,,,,,0.14377613380508203,,,
2009-07-31,2012-09-13,10-K,2012,FY,,,,,,,,,,2557000000.0,679000000.0,295371402.0,,,,,,,,,
2009-10-31,2009-12-04,10-Q,2010,Q1,1636000000.0,1020000000.0,1636000000.0,1020000000.0,,,493000000.0,-99000000.0,-68000000.0,2272000000.0,313000000.0,316760854.0,,1020000000.0,1020000000.0,0.6234718826405868,1.603921568627451,-0.13793103448275862,-0.04156479217603912,,0.19132029339853301
2009-10-31,2010-03-01,10-Q,2010,Q2,,,,,,,,,,,313000000.0,313918834.0,,,,,,,,,
2009-10-31,2010-09-16,10-K,2010,FY,,,,,,,474000000.0,-100000000.0,-68000000.0,,,317535557.0,,,,,,-0.14345991561181434,,,
2009-10-31,2010-12-06,10-Q,2011,Q1,,,,,,,474000000.0,-100000000.0,-68000000.0,2272000000.0,313000000.0,310610837.0,,,,,,-0.14345991561181434,,,
2009-10-31,2011-03-01,10-Q,2011,Q2,,,,,,,,,,,313000000.0,302580717.0,,,,,,,,,
2009-10-31,2011-09-14,10-K,2011,FY,,,,,,,474000000.0,-100000000.0,-68000000.0,,,300814069.0,,,,,,-0.14345991561181434,,,
2009-10-31,2012-09-13,10-K,2012,FY,,,,,,,515000000.0,-94000000.0,-70000000.0,,,295371402.0,,,,,,-0.13592233009708737,,,
2009-11-23,2009-12-04,10-Q,2010,Q1,,,,,,,,,,,,316760854.0,,,,,,,,,
2010-01-31,2010-03-01,10-Q,2010,Q2,1916000000.0,1354000000.0,1916000000.0,1354000000.0,,,837000000.0,139000000.0,114000000.0,2256000000.0,337000000.0,313918834.0,,1354000000.0,1354000000.0,0.7066805845511482,1.41506646971935,0.13620071684587814,0.059498956158663886,,0.17588726513569938
2010-01-31,2010-05-28,10-Q,2010,Q3,,,,,,,,,,,337000000.0,314117010.0,,,,,,,,,
2010-01-31,2010-09-16,10-K,2010,FY,,,,,,,837000000.0,139000000.0,114000000.0,,,317535557.0,,,,,,0.13620071684587814,,,
2010-01-31,2011-03-01,10-Q,2011,Q2,,,,,,,837000000.0,139000000.0,114000000.0,2256000000.0,337000000.0,302580717.0,,,,,,0.13620071684587814,,,
2010-01-31,2011-06-01,10-Q,2011,Q3,,,,,,,,,,,337000000.0,304000417.0,,,,,,,,,
2010-01-31,2011-09-14,10-K,2011,FY,,,,,,,837000000.0,139000000.0,114000000.0,,,300814069.0,,,,,,0.13620071684587814,,,
2010-01-31,2012-09-13,10-K,2012,FY,,,,,,,857000000.0,122000000.0,73000000.0,,,295371402.0,,,,,,0.08518086347724621,,,
2010-02-22,2010-03-01,10-Q,2010,Q2,,,,,,,,,,,,313918834.0,,,,,,,,,
2010-04-30,2010-05-28,10-Q,2010,Q3,2577000000.0,1407000000.0,2577000000.0,1407000000.0,,,1607000000.0,888000000.0,576000000.0,2858000000.0,430000000.0,314117010.0,,1407000000.0,1407000000.0,0.5459837019790454,1.8315565031982943,0.358431860609832,0.22351571594877764,,0.16686069072565
2010-04-30,2010-09-16,10-K,2010,FY,,,,,,,1607000000.0,888000000.0,576000000.0,,,317535557.0,,,,,,0.358431860609832,,,
2010-04-30,2011-06-01,10-Q,2011,Q3,,,,,,,1607000000.0,888000000.0,576000000.0,2858000000.0,430000000.0,304000417.0,,,,,,0.358431860609832,,,
2010-04-30,2011-09-14,10-K,2011,FY,,,,,,,1607000000.0,888000000.0,576000000.0,,,300814069.0,,,,,,0.358431860609832,,,
2010-04-30,2012-09-13,10-K,2012,FY,,,,,,,1827000000.0,1067000000.0,688000000.0,,,295371402.0,,,,,,0.3765736179529283,,,
2010-05-24,2010-05-28,10-Q,2010,Q3,,,,,,,,,,,,314117010.0,,,,,,,,,
2010-07-31,2010-09-16,10-K,2010,FY,2295000000.0,1221000000.0,2295000000.0,1221000000.0,,,537000000.0,-64000000.0,-48000000.0,2821000000.0,214000000.0,317535557.0,,1221000000.0,1221000000.0,0.5320261437908497,1.8796068796068797,-0.0893854748603352,-0.02091503267973856,,0.09324618736383443
2010-07-31,2010-12-06,10-Q,2011,Q1,2295000000.0,1221000000.0,2295000000.0,1221000000.0,,,,,,2821000000.0,214000000.0,310610837.0,,1221000000.0,1221000000.0,0.5320261437908497,1.8796068796068797,,,,0.09324618736383443
2010-07-31,2011-03-01,10-Q,2011,Q2,2295000000.0,1221000000.0,2295000000.0,1221000000.0,,,,,,2821000000.0,214000000.0,302580717.0,,1221000000.0,1221000000.0,0.5320261437908497,1.8796068796068797,,,,0.09324618736383443
2010-07-31,2011-06-01,10-Q,2011,Q3,2295000000.0,1221000000.0,2295000000.0,1221000000.0,,0.0,,,,2821000000.0,214000000.0,304000417.0,,0.0,0.0,0.5320261437908497,1.8796068796068797,,,,0.09324618736383443
2010-07-31,2011-09-14,10-K,2011,FY,2295000000.0,1221000000.0,2295000000.0,1221000000.0,998000000.0,0.0,537000000.0,-64000000.0,-48000000.0,2821000000.0,214000000.0,300814069.0,,499000000.0,998000000.0,0.5320261437908497,1.8796068796068797,-0.0893854748603352,-0.02091503267973856,,0.09324618736383443
2010-07-31,2011-12-01,10-Q,2012,Q1,,,,,,,,,,2821000000.0,214000000.0,297248622.0,,,,,,,,,
2010-07-31,2012-02-29,10-Q,2012,Q2,,,,,,,,,,2821000000.0,214000000.0,294908350.0,,,,,,,,,
2010-07-31,2012-05-25,10-Q,2012,Q3,,,,,,,,,,2821000000.0,214000000.0,293668960.0,,,,,,,,,
2010-07-31,2012-09-13,10-K,2012,FY,,,,,,,3403000000.0,904000000.0,574000000.0,2821000000.0,214000000.0,295371402.0,,,,,,0.1686746987951807,,,
2010-07-31,2013-09-13,10-K,2013,FY,,,,,,,,,,2821000000.0,214000000.0,282712839.0,,,,,,,,,
2010-08-31,2010-09-16,10-K,2010,FY,,,,,,,,,,,,317535557.0,,,,,,,,,
2010-10-31,2010-12-06,10-Q,2011,Q1,2010000000.0,1136000000.0,2010000000.0,1136000000.0,,,532000000.0,-104000000.0,-70000000.0,2615000000.0,112000000.0,310610837.0,,1136000000.0,1136000000.0,0.5651741293532339,1.7693661971830985,-0.13157894736842105,-0.03482587064676617,,0.05572139303482587
2010-10-31,2011-03-01,10-Q,2011,Q2,,,,,,,,,,,112000000.0,302580717.0,,,,,,,,,
2010-10-31,2011-09-14,10-K,2011,FY,,,,,,,532000000.0,-104000000.0,-70000000.0,,,300814069.0,,,,,,-0.13157894736842105,,,
2010-10-31,2011-12-01,10-Q,2012,Q1,,,,,,,532000000.0,-104000000.0,-70000000.0,2615000000.0,112000000.0,297248622.0,,,,,,-0.13157894736842105,,,
2010-10-31,2012-02-29,10-Q,2012,Q2,,,,,,,,,,,112000000.0,294908350.0,,,,,,,,,
2010-10-31,2012-09-13,10-K,2012,FY,,,,,,,575000000.0,-84000000.0,-64000000.0,,,295371402.0,,,,,,-0.11130434782608696,,,
2010-10-31,2013-09-13,10-K,2013,FY,,,,,,,491000000.0,-80000000.0,-64000000.0,,,282712839.0,,,,,,-0.13034623217922606,,,
2010-11-30,2010-12-06,10-Q,2011,Q1,,,,,,,,,,,,310610837.0,,,,,,,,,
2011-01-31,2011-03-01,10-Q,2011,Q2,2024000000.0,1504000000.0,2024000000.0,1504000000.0,,,878000000.0,111000000.0,73000000.0,2272000000.0,433000000.0,302580717.0,,1504000000.0,1504000000.0,0.7430830039525692,1.3457446808510638,0.08314350797266515,0.03606719367588933,,0.21393280632411066
2011-01-31,2011-06-01,10-Q,2011,Q3,,,,,,,,,,,433000000.0,304000417.0,,,,,,,,,
2011-01-31,2011-09-14,10-K,2011,FY,,,,,,,878000000.0,111000000.0,73000000.0,,,300814069.0,,,,,,0.08314350797266515,,,
2011-01-31,2012-02-29,10-Q,2012,Q2,,,,,,,878000000.0,111000000.0,73000000.0,2272000000.0,433000000.0,294908350.0,,,,,,0.08314350797266515,,,
2011-01-31,2012-05-25,10-Q,2012,Q3,,,,,,,,,,,433000000.0,293668960.0,,,,,,,,,
2011-01-31,2012-09-13,10-K,2012,FY,,,,,,,999000000.0,195000000.0,118000000.0,,,295371402.0,,,,,,0.11811811811811812,,,
2011-01-31,2013-09-13,10-K,2013,FY,,,,,,,911000000.0,193000000.0,118000000.0,,,282712839.0,,,,,,0.12952799121844127,,,
2011-02-22,2011-03-01,10-Q,2011,Q2,,,,,,,,,,,,302580717.0,,,,,,,,,
2011-04-30,2011-06-01,10-Q,2011,Q3,2644000000.0,2044000000.0,2644000000.0,2044000000.0,,500000000.0,1848000000.0,1061000000.0,688000000.0,2821000000.0,1369000000.0,304000417.0,,500000000.0,500000000.0,0.773071104387292,1.2935420743639923,0.3722943722943723,0.26021180030257185,,0.5177760968229954
2011-04-30,2011-09-14,10-K,2011,FY,,,,,,,1848000000.0,1061000000.0,688000000.0,,,300814069.0,,,,,,0.3722943722943723,,,
2011-04-30,2012-05-25,10-Q,2012,Q3,,,,,,,1848000000.0,1061000000.0,688000000.0,2821000000.0,1369000000.0,293668960.0,,,,,,0.3722943722943723,,,
2011-04-30,2012-09-13,10-K,2012,FY,,,,,,,1926000000.0,1111000000.0,734000000.0,,,295371402.0,,,,,,0.3811007268951194,,,
2011-04-30,2013-09-13,10-K,2013,FY,,,,,,,1839000000.0,1102000000.0,734000000.0,,,282712839.0,,,,,,0.39912996193583467,,,
2011-05-23,2011-06-01,10-Q,2011,Q3,,,,,,,,,,,,304000417.0,,,,,,,,,
2011-07-31,2011-09-14,10-K,2011,FY,2254000000.0,1805000000.0,2254000000.0,1805000000.0,499000000.0,500000000.0,593000000.0,-61000000.0,-57000000.0,2616000000.0,722000000.0,300814069.0,,749500000.0,999000000.0,0.8007985803016859,1.248753462603878,-0.09612141652613827,-0.025288376220053237,,0.3203194321206744
2011-07-31,2011-12-01,10-Q,2012,Q1,2254000000.0,1805000000.0,2254000000.0,1805000000.0,,,,,,2616000000.0,722000000.0,297248622.0,,1805000000.0,1805000000.0,0.8007985803016859,1.248753462603878,,,,0.3203194321206744
2011-07-31,2012-02-29,10-Q,2012,Q2,2254000000.0,1805000000.0,2254000000.0,1805000000.0,,,,,,2616000000.0,722000000.0,294908350.0,,1805000000.0,1805000000.0,0.8007985803016859,1.248753462603878,,,,0.3203194321206744
2011-07-31,2012-05-25,10-Q,2012,Q3,2254000000.0,1805000000.0,2254000000.0,1805000000.0,,,,,,2616000000.0,722000000.0,293668960.0,,1805000000.0,1805000000.0,0.8007985803016859,1.248753462603878,,,,0.3203194321206744
2011-07-31,2012-09-13,10-K,2012,FY,2254000000.0,1805000000.0,2254000000.0,1805000000.0,499000000.0,500000000.0,573000000.0,-58000000.0,-57000000.0,2616000000.0,722000000.0,295371402.0,,749500000.0,999000000.0,0.8007985803016859,1.248753462603878,-0.09947643979057591,-0.025288376220053237,,0.3203194321206744
2011-07-31,2012-11-29,10-Q,2013,Q1,,,,,,,,,,2616000000.0,722000000.0,296053798.0,,,,,,,,,
2011-07-31,2013-03-01,10-Q,2013,Q2,,,,,,,,,,2616000000.0,722000000.0,296388841.0,,,,,,,,,
2011-07-31,2013-05-30,10-Q,2013,Q3,,,,,,,,,,2616000000.0,722000000.0,296925259.0,,,,,,,,,
2011-07-31,2013-09-13,10-K,2013,FY,,,,,,,3449000000.0,1082000000.0,634000000.0,2616000000.0,722000000.0,282712839.0,,,,,,0.18382139750652363,,,
2011-07-31,2014-09-12,10-K,2014,FY,,,,,,,,,,2616000000.0,722000000.0,285540169.0,,,,,,,,,
2011-08-31,2011-09-14,10-K,2011,FY,,,,,,,,,,,,300814069.0,,,,,,,,,
2011-10-31,2011-12-01,10-Q,2012,Q1,1880000000.0,1636000000.0,1880000000.0,1636000000.0,,,594000000.0,-94000000.0,-64000000.0,2361000000.0,333000000.0,297248622.0,,1636000000.0,1636000000.0,0.8702127659574468,1.1491442542787287,-0.10774410774410774,-0.03404255319148936,,0.17712765957446808
2011-10-31,2012-02-29,10-Q,2012,Q2,,,,,,,,,,,333000000.0,294908350.0,,,,,,,,,
2011-10-31,2012-11-29,10-Q,2013,Q1,,,,,,,575000000.0,-84000000.0,-64000000.0,2361000000.0,333000000.0,296053798.0,,,,,,-0.11130434782608696,,,
2011-10-31,2013-03-01,10-Q,2013,Q2,,,,,,,,,,,333000000.0,296388841.0,,,,,,,,,
2011-10-31,2013-09-13,10-K,2013,FY,,,,,,,562000000.0,-73000000.0,-19000000.0,,,282712839.0,,,,,,-0.033807829181494664,,,
2011-11-23,2011-12-01,10-Q,2012,Q1,,,,,,,,,,,,297248622.0,,,,,,,,,
2012-01-31,2012-02-29,10-Q,2012,Q2,2174000000.0,2053000000.0,2174000000.0,2053000000.0,,,1019000000.0,192000000.0,118000000.0,2223000000.0,277000000.0,294908350.0,,2053000000.0,2053000000.0,0.9443422263109476,1.0589381393083293,0.11579980372914622,0.05427782888684453,,0.12741490340386386
2012-01-31,2012-05-25,10-Q,2012,Q3,,,,,,,,,,,277000000.0,293668960.0,,,,,,,,,
