period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2006-12-31,2010-02-25,10-K,2009,FY,,,,,,,,,,115926000000.0,2418000000.0,5902074438.0,,,,,,,,,
2007-12-31,2009-11-05,10-Q,2009,Q3,,,,,,,,,,,1970000000.0,5901000000.0,,,,,,,,,
2007-12-31,2010-02-25,10-K,2009,FY,,,,,,,118928000000.0,20404000000.0,12147000000.0,115747000000.0,1970000000.0,5902074438.0,3507000000.0,,,,,0.10213742768734024,,5.818078129455375,
2007-12-31,2011-03-01,10-K,2010,FY,,,,,,,,,,115256000000.0,1905000000.0,0.0,,,,,,,,,
2008-01-01,2009-08-05,10-Q,2009,Q2,,,,,,,,,,,1970000000.0,5900000000.0,,,,,,,,,
2008-06-30,2009-08-05,10-Q,2009,Q2,,,,,,,30866000000.0,6567000000.0,3843000000.0,,1631000000.0,5900000000.0,854000000.0,,,,,0.12450592885375494,,7.6896955503512885,
2008-09-30,2009-11-05,10-Q,2009,Q3,,,,,,,31342000000.0,5618000000.0,3289000000.0,,1594000000.0,5901000000.0,858000000.0,,,,,0.10493905940909962,,6.547785547785548,
2008-12-31,2009-08-05,10-Q,2009,Q2,22556000000.0,42290000000.0,22556000000.0,42290000000.0,60872000000.0,,,,,96750000000.0,1792000000.0,5900000000.0,,72726000000.0,103162000000.0,1.8748891647455224,0.5333648616694254,,,,0.0794467104096471
2008-12-31,2009-11-05,10-Q,2009,Q3,22556000000.0,42290000000.0,22556000000.0,42290000000.0,60872000000.0,,,,,96750000000.0,1792000000.0,5901000000.0,,72726000000.0,103162000000.0,1.8748891647455224,0.5333648616694254,,,,0.0794467104096471
2008-12-31,2010-02-25,10-K,2009,FY,22556000000.0,42290000000.0,22556000000.0,42290000000.0,60872000000.0,,124028000000.0,23063000000.0,13128000000.0,96750000000.0,1792000000.0,5902074438.0,3390000000.0,72726000000.0,103162000000.0,1.8748891647455224,0.5333648616694254,0.1058470667913697,0.5820180883135307,6.803244837758112,0.0794467104096471
2008-12-31,2010-05-06,10-Q,2010,Q1,,,,,,,,,,,1792000000.0,5909000000.0,,,,,,,,,
2008-12-31,2010-08-06,10-Q,2010,Q2,,,,,,,,,,,1727000000.0,5909046451.0,,,,,,,,,
2008-12-31,2010-11-05,10-Q,2010,Q3,,,,,,,,,,,1727000000.0,5910000000.0,,,,,,,,,
2008-12-31,2011-03-01,10-K,2010,FY,,,,,,,123443000000.0,-1690000000.0,-2364000000.0,96364000000.0,1727000000.0,0.0,3369000000.0,,,,,-0.01915053911521917,,-0.5016325319085783,
2008-12-31,2012-02-24,10-K,2011,FY,,,,,,,,,,96364000000.0,1727000000.0,5929000000.0,,,,,,,,,
2009-01-01,2009-08-05,10-Q,2009,Q2,,,,,,,,,,,1792000000.0,5900000000.0,,,,,,,,,
2009-03-31,2010-05-06,10-Q,2010,Q1,,,,,,,30571000000.0,5737000000.0,3201000000.0,,3812000000.0,5909000000.0,849000000.0,,,,,0.10470707533283177,,6.75736160188457,
2009-03-31,2011-03-01,10-K,2010,FY,,,,,,,30457000000.0,5684000000.0,3167000000.0,,,0.0,,,,,,0.10398266408379025,,,
