symbol,latest_trading_date,asset_value,asset_volatility,distance_to_default,edf_pd,converged,iterations,last_sigma_change
COST,2026-07-09,407605012091.8213,0.22133634711500383,22.519400163501345,0.0,True,1,1.7559281995427334e-05
KO,2026-07-09,377001750351.0912,0.15018300322424297,19.000112984845735,0.0,True,2,0.0
DELL,2026-07-09,464829417443.10913,0.30796748586930134,5.441549515916347,2.6409553433026645e-08,True,3,8.752349608731613e-06
ORCL,2026-07-09,455523854653.0457,0.3759052217298311,6.276478369842555,1.7316370559683492e-10,True,2,1.6547976877667736e-09
PNC,2026-07-09,132763369359.85513,0.1803197855003549,7.799270901781105,3.1086244689504383e-15,True,2,1.3627355077705516e-09
WMT,2026-07-09,920934087995.2034,0.4594751536901022,7.376078354955237,8.149037000748649e-14,True,2,1.8315462424478568e-08
INTU,2026-07-09,78098041512.81738,0.36247287506117015,8.532389729381693,0.0,True,2,0.0
AMZN,2026-07-09,2714641996105.3877,1.242201766620005,2.4845681932073784,0.006485433124359341,True,3,3.289463741862342e-05
T,2026-07-09,194601400786.70825,0.4295608740927017,3.023749179946977,0.00124831666216485,True,4,4.2703139269739676e-05
KHC,2026-07-09,37847377909.49071,0.2850734935539274,5.06261169629543,2.0677581114014743e-07,True,2,1.634740731670803e-09
