Company,Symbol,Shares Outstanding,Last Date,Last Price,Last Statement Date,Debt/Short Term,Debt/Long Term,Total Debt,Interest Rate,σ,A,R,η,CCM,µ,TiC Risk Score,DD,EDF,PIT PD,TTC PD,SP Rating,Outlook
AMAZON COM INC,AMZN,10757109436.0,2026-07-08,243.6199951171875,2026-04-30,152000000.0,119074000000.0,59689000000.0,0.0406,0.314888476374333,2677961110291.112,0.12102755093885342,0.17060492721552786,0.21539083938420314,31.42807754020822,0.6853452588967237,12.463748599301065,5.8852492231451295e-36,1.309986177484393e-31,0.00020000000000000004,AAA-,0.00020000000000000004
COSTCO WHOLESALE CORP /NEW,COST,443478804.0,2026-07-08,953.1300048828124,2026-06-03,0.0,5670000000.0,2835000000.0,0.0406,0.2073468742616612,425415158869.2975,0.040207493492403046,0.061703856625443615,0.2133838453534757,124.62909681967226,0.1712151101136712,24.361259897552387,2.2023932873550293e-131,5.223464617486989e-127,0.0002,AAA-,0.0002
Dell Technologies Inc.,DELL,656000000.0,2026-07-08,431.9700012207031,2026-06-09,7550000000.0,23611000000.0,19355500000.0,0.0406,0.5110278986029374,301957726044.5125,0.4715770087560749,0.602151765331342,0.20157137823248186,5.825793793519643,3.4599813411985334,6.2988487093046395,1.4993224455115437e-10,7.283877337941216e-06,0.0008920772635800982,A,0.000884793386242157
INTUIT INC.,INTU,273537000.0,2026-07-08,272.1000061035156,2026-05-20,750000000.0,5412000000.0,3456000000.0,0.0406,0.3941562925225886,77747915975.83511,0.4331111282909532,-0.355431536823377,0.11521479705055547,7.188362737005214,1.60279609232068,6.799964425645743,5.232249391498191e-12,9.220575181419133e-12,0.00026450112912666226,AA+,0.00026450111990608706
Kraft Heinz Co,KHC,1185777638.0,2026-07-08,24.920000076293945,2026-05-06,1910000000.0,19223000000.0,11521500000.0,0.0406,0.1886014473661905,40612674503.45969,0.053411776601947736,-0.03562652362763677,0.5286021065210837,23.587781998758718,2.2409996266240753,6.396841503070412,7.931191379300886e-11,1.524238457043876e-10,0.0002775401491150484,AA+,0.0002775399966912027
COCA COLA CO,KO,4302482418.0,2026-07-08,83.4000015258789,2026-04-30,4493000000.0,39065000000.0,24025500000.0,0.0406,0.1601295239306418,381896640982.8086,0.16750575568980786,0.18032648790693484,0.055342087905467845,16.51306978059591,0.33514112542841024,18.319794601510733,2.87647746472362e-75,3.0321004912987935e-59,0.0002,AAA-,0.0002
ORACLE CORP,ORCL,2880471000.0,2026-07-08,140.49000549316406,2026-06-22,7199000000.0,0.0,7199000000.0,0.0406,0.5395234622378805,411589960996.21497,0.01561107278480911,0.16115385593738393,4.608428653483327,259.1804894996469,1.7780769927474054,7.528303851548562,2.5701831344297085e-14,7.963357036861972e-14,0.00024100558959597559,AAA-,0.00024100558951634202
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,401564632.0,2026-07-08,246.52999877929688,2026-05-05,1235000000.0,66666000000.0,34568000000.0,0.0406,0.1779189323703441,132190376004.85371,0.15988221660664337,0.1757097898545449,0.1476092161296458,8.389392865905917,1.759474356356852,8.437533454094988,1.6205218619406154e-17,2.8071372614736058e-11,0.00029901941648833577,AA+,0.0002990193884169632
AT&T INC.,T,6948338835.0,2026-07-08,21.1200008392334,2026-04-27,6818000000.0,131589000000.0,72612500000.0,0.0406,0.1740728268323965,216472398538.16373,0.05748442662958376,0.0726351011502945,0.4825690920427881,19.00211988899193,2.5395539806184675,6.605341075445239,1.9830158348888564e-11,2.6343098992394663e-09,0.0003666425729750105,AA,0.0003666399386651113
Walmart Inc.,WMT,7958079155.0,2026-07-08,113.0999984741211,2026-05-29,10673000000.0,36887000000.0,29116500000.0,0.0406,0.2354199529942089,928016786131.5522,0.2376345138575786,0.26534579099147637,0.06737239273710262,14.567516902885751,0.46248371075345374,15.7139582441336,6.067980799347294e-56,1.01630968779555e-42,0.0002,AAA-,0.0002
